Crime,Case Number,Date/Time Reported,Date/Time Occurred,General Location,Disposition
Theft,IN20160000497,3/13/16 2:20 PM,3/13/16 2:20 PM,Weinberg Building 4th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160000490,3/14/16 12:30 AM,3/14/16 1:19 AM,Zayed Tower 11th floor,"Closed-Victim Declined to
Prosecute"
Assault,IN20160000514,3/17/16 12:30 AM,3/17/16 12:30 AM,AED,"Closed-Victim Declined to
Prosecute"
Assault,IN20160000523,3/19/16 4:05 PM,3/19/16 4:05 PM,Wolfe & Ashland,Closed-Referred to BPD
Theft,IN20160000524,3/19/16 9:31 PM,3/19/16 9:10 PM,AED Waiting Area,Closed-Referred to BPD
Theft,IN20160000550,3/23/16 8:00 AM,3/21/16 11:00 AM,Outpatient Center 8th floor,Under Investigation
Assault,IN20160000572,3/25/16 7:50 AM,3/25/16 7:40 AM,Meyer 3,"Closed-Victim Declined to
Prosecute"
Vandalism,IN20160000573,3/25/16 9:43 AM,3/25/16 6:30 AM,Zayed Tower 5th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160000580,3/25/16 5:33 PM,3/25/16 5:30 PM,Bloomberg Building 1st floor,Closed-Referred to BPD
Theft,IN20160000605,3/28/16 10:50 AM,3/28/16 10:50 AM,1800 Monument Street Pharmacy,"Closed-Victim Declined to
Prosecute"
Theft,IN20160000606,3/28/16 1:00 PM,3/28/16 9:00 AM,Woods Building 4th floor,Under Investigation
Theft,IN20160000607,3/28/16 4:40 PM,3/28/16 4:30 PM,PMOB Building 1st floor,"Closed-No Suspects or
Witnesses"
Robbery,IN20160000618,3/29/16 12:05 PM,3/29/16 12:00 PM,700 N. Wolfe Street,Closed-Referred to BPD
Theft,IN20160000619,3/29/16 5:48 PM,3/23/16 6:20 PM,Carnegie 3rd floor,Closed-No Identifiable Suspect
Theft,IN20160000622,3/29/16 6:30 PM,3/29/16 2:50 PM,Bloomberg; Pediatric ED,"Closed-No Suspects or
Witnesses"
Rape,IN20160000642,3/31/16 3:08 PM,1/9/16 12:00 AM,Halsted Building 3rd floor,Closed-Referred to Department
Theft from Auto,IN20160000646,3/31/16 4:20 PM,3/31/16 2:17 PM,500 block Castle Street,Closed-No Further Action
Assault,IN20160000644,3/31/16 5:50 PM,3/31/16 5:50 PM,Bloomberg 10th floor,Closed-No Further Action
Assault,IN20160000657,4/1/16 10:05 PM,4/1/16 10:05 PM,Orleans Street Circle,Closed-Referred to BPD
Disorderly Conduct,IN20160000660,4/2/16 8:30 AM,4/2/16 8:30 AM,AED,Closed-Subject Arrested
Vandalism,IN20160000670,4/3/16 8:00 AM,4/3/16 8:00 AM,outside AED entrance,Closed-Subject Arrested
Theft,IN20160000671,4/3/16 6:15 PM,4/3/16 6:00 PM,"Pre-Clinical Teaching Building;
Bike Rack","Closed-No Suspects or
Witnesses"
Theft,IN20160000682,4/4/16 2:49 AM,4/4/16 2:49 AM,Bloomberg 10th floor,Closed-Referred to BPD
Theft,IN20160000706,4/6/16 10:00 AM,4/6/16 10:00 AM,"1830 Building 1st floor; Carryon
Shop",Closed-Referred to BPD
Theft,IN20160000717,4/6/16 11:30 PM,4/6/16 8:30 PM,Outpatient Center lowel level,"Closed-No Suspects or
Witnesses"
CDS Violation,IN20160000729,4/9/16 12:10 AM,4/8/16 11:45 PM,1900 block McElderry,Closed-Referred to BPD
Robbery,IN20160000755,4/11/16 8:00 AM,4/9/16 4:18 AM,1600 block Monument Street,Closed-Referred to BPD
Assault,IN20160000758,4/11/16 5:00 PM,4/11/16 5:00 PM,Zayed Tower 12th floor,Closed-No Further Action
Vandalism,IN20160000795,4/15/16 10:45 AM,4/10/16 6:00 PM,1700 block Madison Street,"Closed-No Suspects or
Witnesses"
Theft,IN20160000798,4/15/16 4:00 PM,4/15/16 3:50 PM,PMOB Building 1st floor,"Closed-No Suspects or
Witnesses"
Vandalism,IN20160000819,4/16/16 11:15 PM,4/16/16 11:15 PM,"615 N. Wolfe (SHPH Building)
2nd floor","Closed-No Suspects or
Witnesses"
Arson,IN20160000857,4/20/16 3:08 PM,4/20/16 3:08 PM,PMOB Building 1st floor,Closed-Referred to BPD
Assault,IN20160000870,4/21/16 7:15 PM,4/21/16 7:15 PM,Nelson Building 3rd floor,Closed-Referred to Prosecutor
Assault,IN20160000878,4/22/16 10:45 AM,4/22/16 10:45 AM,"Zayed Tower 1st floor; AED
Waiting Area","Closed-Victim Declined to
Prosecute"
Assault,IN20160000880,4/22/16 4:27 PM,4/22/16 4:27 PM,Meyer Building 5th Floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160000897,4/22/16 10:49 PM,4/22/16 10:30 PM,Halsted Building 2nd floor,Under Investigation
Theft,IN20160000908,4/24/16 7:25 PM,4/24/16 5:30 PM,Zayed Tower 10th floor,Closed-Referred to BPD
Drug Violation,IN20160000910,4/24/16 11:30 PM,4/24/16 10:00 PM,Nelson Building 3rd floor,Closed-Reclassified
Theft,IN20160000911,4/25/16 3:00 PM,4/25/16 3:00 PM,Weinberg Building 5th Floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160000912,4/25/16 4:35 PM,4/25/16 4:35 PM,Zayed Tower 12th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160000921,4/26/16 8:00 AM,4/26/16 08:00AM,200 block Broadway @ Fayette,Closed-Referred to BPD
Assault,IN20160000923,4/26/16 8:30 AM,4/26/16 8:30 AM,Zayed Tower 1st floor; AED,Closed-Subject Arrested
Assault,IN20160000925,4/26/16 12:15 PM,4/26/16 12:10 PM,Bloomberg Building 9th floor,Closed-Referred to BPD
Theft,IN20160000930,4/26/16 7:30 PM,4/26/16 2:00 PM,Zayed Tower Basement,Closed-No Identifiable Suspect
Theft,IN20160000945,4/27/16 8:52 PM,4/27/16 8:52 PM,1500 block Orleans Street,"Closed-Victim Declined to
Prosecute"
Theft,IN20160000949,4/27/16 9:53 PM,4/27/16 9:53 PM,900 block Wolfe Street,"Closed-No Suspects or
Witnesses"
Assault,IN20160000980,4/29/16 7:40 PM,4/29/16 7:40 PM,Bloomberg Building 4th floor,Closed-No Further Action
Drug Violation,IN20160000996,5/1/16 11:30 PM,5/1/16 11:30 PM,Nelson Building 7th floor,Closed-Referred to BPD
Theft,IN20160001026,5/4/16 11:15 AM,5/4/16 11:15 AM,Zayed Tower 1; Arcade Pharmacy,Closed-Subject Arrested
Theft,IN20160001032,5/4/16 8:10 PM,5/4/16 09:30 AM-8:10 PM,800 block Wolfe Street,Closed-No Further Action
Theft,IN20160001037,5/5/16 2:10 PM,"5/5/16 08:25 AM-11:00
AM",Outpatient Center 6th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001047,5/6/16 5:41 PM,5/6/16 3:30 PM-4:30 PM,Outpatient Center 6th floor,"Closed-No Suspects or
Witnesses"
Vandalism,IN20160001061,5/7/16 8:00 PM,5/7/16 8:00 PM,Bloomberg Building 4th floor,Closed-Subject Arrested
Theft,IN20160001070,5/9/16 7:19 AM,5/9/16 6:30 PM,Weinberg Building 1st floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001071,5/9/16 9:30 AM,4/2/16 3:56 PM,Zayed Tower 1st floor; AED,Closed-Referred to BPD
Trespassing,IN20160001072,5/9/16 3:30 PM,5/9/16 3:30 PM,Zayed Tower 1st floor,Closed-Subject Banned
Assault,IN20160001084,5/10/16 3:40 PM,5/10/16 3:40 PM,Zayed Tower 12th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160001091,5/10/16 4:00 PM,5/10/16 3:42 PM,Bloomberg Building 1st floor,"Closed-Victim Declined to
Prosecute"
Theft from Auto,IN20160001099,5/11/16 12:30 PM,5/11/16 12:30 PM,2000 block Madison Street,Closed-Subject Arrested
Theft,IN20160001103,5/11/16 4:20 PM,5/11/16 4:20 PM,1800 block Orleans Street,Closed-No Identifiable Suspect
Theft,IN20160001120,5/12/16 6:00 PM,5/12/16 6:00 PM,Outpatient Center 5th floor,Closed-No Identifiable Suspect
Theft,IN20160001130,5/14/16 3:52 PM,5/14/16 3:52 PM,Bloomberg Building 10th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001139,5/16/16 12:40 PM,"5/12/16 5:30 PM - 5/16/16
08:30 AM",Outpatient Center 6th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160001168,5/19/16 3:20 PM,5/19/16 3:20 PM,Zayed Tower 1st floor; AED,Closed-Referred to BPD
Assault,IN20160001189,5/20/16 9:10 PM,5/20/16 9:10 PM,Jefferson Street Loading Dock,Closed-Referred to BPD
Theft from Auto,IN20160001201,5/23/16 5:00 PM,"5/23/2016
2:30 PM-4:45 PM",Monument & Castle Streets,Closed-Referred to BPD
Assault,IN20160001206,5/24/16 10:29 AM,5/24/16 10:14 AM,Meyer Building 5th Floor,Closed-Subject Arrested
Theft,IN20160001212,5/24/16 8:00 PM,"5/24/16
9:00 AM - 8:00 PM",Weinberg Building 4th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001231,5/26/16 2:20 PM,"5/26/16 10:00 AM -
1:00 PM",CMSC Building Basement,"Closed-No Suspects or
Witnesses"
Theft,IN20160001235,5/26/16 6:50 PM,5/26/16 6:00 PM,Nelson Building 6th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001254,5/28/16 2:28 PM,5/28/16 2:28 PM,1500 block Orleans Street,Closed-No Identifiable Suspect
Assault,IN20160001273,5/31/16 3:30 PM,5/31/16 3:30 PM,Meyer Building 5th floor,"Closed-Victim Declined to
Prosecute"
Vandalism,IN20160001281,6/1/16 12:15 PM,6/1/16 12:15 PM,Weinberg Garage,Closed-No Further Action
Assault,IN20160001342,6/8/16 1:00 AM,6/8/16 1:00 AM,Halsted Building 2nd floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160001367,6/8/16 6:40 PM,6/8/16 8:10 AM - 6:40 PM,PCTB Bike Rack,Closed-Referred to BPD
Theft,IN20160001352,6/8/16 9:25 PM,"6/8/16
11:00 AM - 9:00 PM",Osler Building 2nd floor,Closed-Referred to BPD
Assault,IN20160001358,6/9/16 11:45 AM,6/9/16 11:45 AM,Meyer Building 5th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160001363,6/9/16 6:30 PM,6/9/16 1:00 PM,Osler Building 2nd floor,Closed-Reclassified
Assault,IN20160001380,6/11/16 9:10 PM,6/11/16 9:10 PM,Meyer Building 4th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160001390,6/13/16 5:22 PM,"6/13/2016
3:45 PM - 4:15 PM",Wilmer Building 3rd floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160001391,6/14/16 1:00 AM,6/14/16 1:00 AM,Zayed Tower 1st floor; AED,"Closed-Victim Declined to
Prosecute"
Weapons Violation,IN20160001405,6/15/16 9:50 PM,6/15/16 9:50 PM,"Bloomberg Building 1st floor;
Ped Emergency",Closed-No Further Action
Theft,IN201600001418,6/17/16 7:15 PM,"6/17/16
4:00 PM - 4:30 PM",Weinberg Building 3rd floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160001437,6/21/16 12:40 PM,6/21/16 12:40 PM,"Zayed Tower 1st floor; AED
Triage Area",Closed-Referred to BPD
Theft,IN20160001473,6/24/16 11:15 AM,6/24/16 11:15 AM,Zayed Tower 4th floor,"Closed-No Suspects or
Witnesses"
Theft,IN201600001481,6/25/16 12:09 PM,6/25/16 12:09 PM,Zayed Tower 8th floor,Closed-No Identifiable Suspect
Theft,IN20160001493,6/27/16 12:20 AM,"6/26/2016 8:30 PM -
6/27/16 12:20 AM",700 block North Broadway,"Closed-No Suspects or
Witnesses"
Theft,IN20160001498,6/27/16 11:30 AM,"6/26/16 7:45 PM -
6/27/16 11:30 AM",1700 block Jefferson,"Closed-No Suspects or
Witnesses"
Theft,IN20160001499,6/27/16 11:50 AM,"6/24/16 12:00 PM -
6/27/16 09:00 AM",Phipps Building 3rd floor,Closed-Subject Banned
Theft,IN20160001505,6/28/16 10:20 AM,"6/27/16 5:00 PM -
6/28/16 9:00 AM",Meyer Building 3rd floor,Closed-Subject Banned
Assault,IN20160001515,6/29/16 11:00 AM,6/29/16 11:00 AM,Meyer Building 5th floor,"Closed-Victim Declined to
Prosecute"
Theft from Auto,IN20160001516,6/29/16 3:10 PM,"6/29/16 11:00 AM -
3:10 PM",700 block Castle Street,Closed-Referred to BPD
Assault,IN20160001520,6/29/16 10:00 PM,6/29/16 6:40 PM,Meyer Building 5th floor,"Closed-Victim Declined to
Prosecute"
Assault,IN20160001526,6/30/16 8:45 AM,6/30/16 8:45 AM,Zayed Tower 1st floor; AED,"Closed-Victim Declined to
Prosecute"
Assault,IN20160001545,7/1/16 3:00 PM,7/1/16 3:00 PM,Zayed Tower 11th floor,"Closed-Victim Declined to
Prosecute"
Vandalism,IN20160001587,7/5/16 9:30 PM,7/5/16 2:00PM - 9:30 PM,600 block Washington Street,Closed-Referred to BPD
Vandalism,IN20160001586,7/5/16 9:40 PM,7/5/16 2:30 PM - 9:40 PM,600 block Washington Street,Closed-Referred to BPD
Theft,IN20160001599,7/6/16 8:30 PM,7/6/16 6:09 PM,Zayed Tower 1st floor; AED,Closed-No Identifiable Suspect
Theft,IN20160001633,7/9/16 5:30 PM,7/9/16 1:00 PM - 5:30 PM,Ashland Garage,Closed-No Identifiable Suspect
Theft,IN20160001637,7/10/16 7:55 PM,7/10/16 7:55 PM,Nelson Building 6th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001640,7/11/16 8:00 AM,"7/5/16 06:20 AM - 7/11/16
06:20 AM",Wilmer Building 1st floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160001647,7/11/16 7:08 PM,7/11/16 7:08 PM,Meyer Building 6th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160001657,7/12/16 12:32 PM,7/12/16 12:32 PM,Woods Building 3rd floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001658,7/12/16 9:00 PM,7/12/16 12:00 PM,Nelson Building 3rd floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001671,7/12/16 6:45 PM,"7/12/2016
1:00 PM - 6:00 PM",SHPH Building 3rd floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160001655,7/12/16 2:30 PM,7/12/16 2:30 PM,Zayed Tower 11th floor,Closed-Referred to BPD
Theft,IN20160001702,7/17/16 10:05 AM,7/17/16 9:57 AM,1500 block Orleans Street,Closed-No Identifiable Suspect
Assault,IN20160001705,7/18/16 12:00 AM,7/18/16 12:00 AM,"Bloomberg Building 1st floor;
Ped Emergency",Closed-No Further Action
Vandalism,IN20160001738,7/21/16 2:45 AM,7/21/16 2:45 AM,Ashland Garage,Closed-Referred to BPD
Theft,IN20160001742,7/21/16 11:51 AM,"7/19/2016
8:14AM -4:38PM",550 Building 3rd floor,Closed-Referred to BPD
Theft,IN20160001745,7/21/16 4:40 PM,"7/21/2016
3:00 PM - 4:15 PM",Weinberg Building lower level 2,"Closed-No Suspects or
Witnesses"
Robbery,IN20160001764,7/24/16 8:45 PM,7/24/16 8:45 PM,500 block Caroline Street,Closed-Referred to BPD
Theft,IN20160001770,7/25/16 4:29 PM,7/25/16 4:29 PM,"Zayed Tower 2nd floor; Arcade
Pharmacy",Closed-Subject Arrested
Weapons Violation,IN20160001775,7/26/16 12:30 AM,7/26/16 12:30 AM,"Bloomberg Building 1st floor;
Ped Emergency",Closed-Referred to BPD
Assault,IN20160001785,7/26/16 5:45 PM,7/26/16 17:45 PM,Bloomberg Building 11th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160001784,7/26/16 5:45 PM,"7/25/16
09:20 AM - 6:00 PM","Weinberg Building; Outpatient
Pharmacy","Closed-Referred to EVS
Department"
Theft,IN20160001806,7/27/16 11:36 PM,"7/22/2016 11:30 PM -
7/24/16 5:00 PM",Rangos Building 4th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160001821,7/28/16 8:16 PM,7/28/16 8:16 PM,"Bloomberg Building 1st floor;
Ped Emergency",Closed-Referred to BPD
Theft,IN20160001826,7/29/16 5:04 AM,7/29/16 4:30 AM,Zayed Tower 1st floor; AED,Closed-Referred to BPD
Bomb Threat,IN20160001828,7/29/16 12:16 PM,7/29/16 11:03 AM,Zayed Tower,Closed-No Identifiable Suspect
Assault,IN20160001865,8/2/16 4:23 PM,8/2/16 4:23 PM,1600 block Monument Street,Closed-No Identifiable Suspect
Theft,IN20160001866,8/2/16 17:24 PM,"8/2/2016
4:30 PM - 4:40 PM",Carnegie Building 2nd floor,Closed-No Identifiable Suspect
Theft,IN20160001879,8/3/16 2:45 PM,"8/3/16
10:50 AM - 11:00 AM",Zayed Tower 1st floor; AED,"Closed-No Suspects or
Witnesses"
Theft,IN20160001895,8/4/16 3:36 PM,8/4/16 3:36 PM,"Orleans & Wolfe Streets (PCTB
Bike Rack)",Closed-Referred to BPD
Theft,IN20160001896,8/4/16 6:07 PM,8/4/16 2:00 PM,Nelson Building 6th floor,Closed-Referred to BPD
Theft,IN20160001904,8/6/16 8:30 PM,"8/6/2016
5:30 PM - 8:30 PM","615 N. Wolfe Street (SHPH) Bike
Rack","Closed-No Suspects or
Witnesses"
Burglary,IN20160001913,8/8/16 6:40 AM,"8/5/2016 2:30:00 PM -
8/8/16 6:00 AM",511 N. Washington Street,Closed-Referred to BPD
Robbery,IN20160001919,8/8/16 12:15 PM,8/8/16 12:15 PM,Orleans & Washington Streets,Closed-Referred to BPD
Aggravated Assault,IN20160001920,8/8/16 12:30 PM,8/8/16 12:30 PM,400 block of Castle Street,Closed-Referred to BPD
Theft,IN20160001930,8/9/16 12:15 PM,"8/8/16 3:00 PM -
8/9/16 4:30 AM",1812 Rutland Avenue,"Closed-Unfounded; No Crime
Occurred"
Assault,IN20160001941,8/10/16 12:15 PM,8/10/16 12:15 PM,615 N. Wolfe Street (SHPH),Closed-Referred to Department
Theft,IN20160001942,8/10/16 3:30 PM,"8/10/16
2:00 - 2:25 PM",Blalock Building 5th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001944,8/10/16 5:00 PM,"8/10/16
10:00 AM - 5:00 PM","615 N. Wolfe Street (SHPH) Bike
Rack","Closed-No Suspects or
Witnesses"
Vandalism,IN20160001948,8/11/16 5:30 AM,8/11/16 5:30 AM,Bloomberg Building 12th floor,Closed-No Further Action
Theft,IN20160001949,8/11/16 9:00 AM,8/10/16 4:40 PM,CRB2 Building,"Closed-No Suspects or
Witnesses"
Theft,IN20160001972,8/11/16 3:39 PM,8/11/16 3:00 PM,Zayed Tower; Main Level,"Closed-No Suspects or
Witnesses"
Theft,IN20160001962,8/11/16 10:00 PM,"8/11/2016
6:55 PM - 9:45 PM",Zayed Tower 11th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160001963,8/12/16 9:13 AM,8/12/16 9:13 AM,Ashland Garage,Closed-No Identifiable Suspect
Theft,IN20160001966,8/12/16 1:40 PM,8/12/16 1:40 PM,"Nelson Building 1st floor; Gift
Shop",Closed-Subject Arrested
Disorderly Conduct,IN20160001980,8/15/16 10:30 AM,8/15/16 10:30 AM,"600 N. Wolfe Street; Wolfe Street
Circle",Closed-Referred to BPD
Theft,IN20160001987,8/16/16 5:56 AM,"8/16/16
04:50 AM - 05:45 AM",Zayed Tower 5th floor,Closed-No Identifiable Suspect
Theft,IN20160001992,8/16/16 3:25 PM,8/16/16 3:25 PM,Wilmer Building 2nd floor,"Closed-No Suspects or
Witnesses"
Vandalism,IN20160002007,8/16/16 9:10 PM,8/16/16 9:10 PM,Zayed Tower 1st floor; AED,Closed-No Further Action
Theft,IN20160002005,8/17/16 1:00 PM,8/17/16 12:45 PM,Weinberg Building lower level 2,"Closed-No Suspects or
Witnesses"
Vandalism,IN20160002014,8/18/16 5:55 AM,"8/18/16
02:03 AM - 02:10 AM",Monument & Broadway,Closed-Referred to BPD
Vandalism,IN20160002318,8/20/16 5:55 AM,"8/19/16 11:00 PM -8/20/16
5:55 PM",Orleans Street Garage,Closed-Referred to BPD
Drug Violation,IN20160002034,8/20/16 8:15 PM,8/20/16 8:15 PM,"Zayed Tower 1st floor; AED
Pysch",Closed-Referred to BPD
Vandalism,IN20160002050,8/22/16 5:15 PM,"8/22/16
10:30 AM - 5:15 PM",700 block Chester Street,Closed-Referred to BPD
Sex Offense,IN20160002059,8/23/16 10:05 AM,8/23/16 10:05 AM,2000 block E. Monument Street,Closed-Subject Arrested
Theft,IN20160002073,8/24/16 1:00 PM,"8/24/16
06:30 AM - 1:00 PM",CRB2 Building; Bike Rack,Closed-No Identifiable Suspect
Theft from Auto,IN20160002078,8/24/16 4:35 PM,"8/24/16
11:00 AM - 4:15 PM",Madison & Castle Street,Closed-Referred to BPD
Theft from Auto,IN20160002079,8/24/16 5:00 PM,"8/24/16
09:00 AM - 5:00 PM",Madison & Castle Street,Closed-Referred to BPD
Theft from Auto,IN20160002091,8/25/16 5:40 PM,"8/25/16
09:15 AM - 2:00 PM",700 N. Castle Street,Closed-Referred to BPD
Stalking,IN20160002090,8/25/16 5:40 PM,8/24/16 5:30 PM,Orleans Garage,Closed-No Further Action
Theft,IN20160002097,8/26/16 12:56 PM,"8/26/16
9:30 AM - 12:56 PM",Zayed Tower 12th floor,Closed-Subject Arrested
Theft,IN20160002119,8/26/16 3:52 PM,8/26/16 3:30 PM,Blalock Building 2nd floor,Closed-Referred to BPD
