Crime,Case Number,"Date/Time
Reported","Date/Time
Occurred",General Location,Disposition
Assault,IN20150000028,5/27/15 1:11 PM,5/27/15 1:11 PM,Zayed Tower 12th floor,Closed
Theft,IN20150000039,5/29/15 7:29 PM,5/29/15 7:29 PM,JHOPC 4th floor,Closed
Assault,IN20150000043,5/30/15 1:55 PM,5/30/15 1:55 PM,Nelson/Harvey Bldg 6th floor,Closed
Vandalism,IN20150000044,6/1/15 7:30 AM,6/1/15 7:30 AM,Blalock Bldg,Closed
Theft,IN20150000046,6/1/15 3:08 PM,6/1/15 12:30 PM,Blalock Bldg 5th floor,Closed
Theft,IN20150000047,6/1/15 4:51 PM,6/1/15 12:45 PM,Pathology Building,Closed
Theft,IN20150000050,6/1/15 4:55 PM,6/1/15 3:00 PM,JHOPC,Closed
Forgery,IN20150000049,6/1/15 5:33 PM,6/1/15 5:33 PM,Ross Bldg 7th floor,Under Investigation
Theft,IN20150000054,6/2/15 2:22 PM,6/2/15 8:30 AM,Bloomberg Childrens Center 9th floor,Under Investigation
Forgery,IN20150000055,6/2/15 6:36 PM,6/2/15 3:20 PM,Zayed Tower 2nd floor Arcade Pharmacy,Closed
Assault,IN20150000056,6/3/15 8:32 AM,6/3/15 8:32 AM,Meyer Bldg 5th Flr,Closed
Theft,IN20150000060,6/3/15 3:00 PM,6/3/15 3:00 PM,Zayed Tower 12th floor,Closed
Trespassing,IN20150000071,6/5/15 7:07 PM,6/5/15 7:00 PM,Zayed Tower 2nd floor,Closed
Theft,IN20150000073,6/6/15 1:30 AM,6/6/15 1:30 AM,Adult Emergency Department,Closed
Assault,IN20150000067,6/6/15 11:04 AM,6/6/15 9:25 AM,Bloomberg Childrens Center 12th floor,Closed
Theft,IN20150000075,6/7/15 5:59 PM,6/7/15 5:59 PM,Zayed Tower 2nd floor,Closed
Assault,IN20150000079,6/9/15 9:30 AM,6/9/15 9:30 AM,Bloomberg Childrens Center 12th floor,Closed
Vandalism,IN20150000086,6/10/15 2:14 AM,6/10/15 2:14 AM,Bloomberg Childrens Center 3rd floor,Closed
Theft,IN20150000090,6/10/15 2:08 PM,6/8/15 2:08 PM,Bloomberg Childrens Center 5th floor,Closed
Vandalism,IN20150000097,6/11/15 2:19 AM,6/10/15 1:45 AM,2213 E McElderry St,Closed
Theft,IN20150000104,6/12/15 7:00 PM,6/12/15 7:00 PM,JHOPC,Closed
Theft,IN20150000106,6/13/15 3:41 PM,6/13/15 3:41 PM,Cooley Center 1st floor,Closed
Theft,IN20150000115,6/16/15 5:04 PM,6/14/15 1:00 PM,Orleans St Garage,Closed
Assault,IN20150000120,6/17/15 11:50 AM,6/17/15 11:00 AM,Nelson/Harvey Bldg 3rd floor,Closed
Theft,IN20150000123,6/17/15 5:12 PM,6/17/15 5:12 PM,Zayed Tower 12th floor,Closed
Assault,IN20150000127,6/18/15 7:02 AM,6/18/15 7:02 AM,1800 block Orleans St,Closed
Theft,IN20150000130,6/18/15 12:47 PM,6/17/15 12:30 PM,JHBSPH 615 N Wolfe St,Closed
Theft,IN20150000131,6/18/15 1:18 PM,6/18/15 11:10 AM,JHOPC 5th floor,Closed
Vandalism,IN20150000133,6/18/15 2:33 PM,6/18/15 2:33 PM,Zayed Tower Basement,Closed
Theft,IN20150000136,6/18/15 5:48 PM,6/18/15 5:48 PM,CRB1 Bldg 2nd floor,Closed
Assault,IN20150000142,6/20/15 8:06 PM,6/20/15 6:40 PM,300 block Broadway,Closed
Theft From Vehicle,IN20150000144,6/21/15 9:29 AM,6/21/15 9:29 AM,700 block Castle St,Closed
Theft,IN20150000147,6/22/15 5:15 PM,6/22/15 5:15 PM,Nelson/Harvey Bldg 4th floor,Closed
Theft,IN20150000151,6/23/15 1:36 PM,6/12/15 1:36 PM,Hampton House 624 N Broadway,Closed
Theft,IN20150000155,6/24/15 12:42 PM,6/16/15 4:00 PM,415 N Washington St.,Closed
Theft,IN20150000162,6/25/15 4:24 PM,6/25/15 11:20 AM,Zayed Tower 1st floor,Closed
Assault,IN20150000164,6/26/15 7:05 PM,6/25/15 2:40 AM,Adult Emergency Department,Closed
Theft,IN20150000167,6/27/15 1:58 PM,6/27/15 1:58 PM,Nelson/Harvey Bldg,Closed
Assault,IN20150000168,6/28/15 5:23 PM,6/26/15 3:30 PM,Nelson/Harvey Bldg Basement,Closed
Theft,IN20150000195,7/3/15 9:07 PM,7/3/15 9:07 PM,Adult Emergency Department,Closed
Theft,IN20150000208,7/7/15 7:50 PM,7/7/15 7:50 PM,JHBSPH 615 N Wolfe St,Closed
Assault,IN20150000214,7/9/15 9:49 PM,7/9/15 9:49 PM,Zayed Tower 8th floor,Closed
Theft,IN20150000218,7/10/15 2:22 PM,7/10/15 9:32 AM,Zayed Tower 8th floor,Closed
Assault,IN20150000234,7/17/15 6:44 PM,7/17/15 6:44 PM,Adult Emergency Department,Closed
Assault,IN20150000236,7/19/15 3:19 PM,7/19/15 3:19 PM,Adult Emergency Department,Closed
Assault,IN20150000240,7/20/15 6:08 PM,7/20/15 6:08 PM,Halsted Building 2nd floor,Closed
Theft,IN20150000244,7/21/15 2:04 PM,7/21/15 10:53 AM,Nelson/Harvey Bldg 6th floor,Closed
Theft From Vehicle,IN20150000250,7/22/15 6:14 PM,7/22/15 6:14 PM,1600 block Monument St,Closed
Assault,IN20150000249,7/22/15 7:11 PM,7/22/15 7:11 PM,Adult Emergency Department,Closed
Theft,IN20150000258,7/25/15 1:31 PM,7/25/15 1:00 PM,Weinberg Bldg 4th floor,Closed
Theft,IN20150000259,7/27/15 12:20 PM,7/27/15 12:20 PM,Wilmer Building 1st floor,Closed
Theft,IN20150000269,7/28/15 4:03 PM,7/28/15 4:03 PM,Bloomberg Childrens Center 5th floor,Closed
Assault,IN20150000270,7/29/15 10:24 PM,7/29/15 10:24 PM,Zayed Tower,Closed
Theft,IN20150000274,7/30/15 5:08 PM,7/30/15 5:08 PM,1800 E Monument St,Closed
Theft,IN20150000287,8/4/15 2:29 PM,8/4/15 12:29 PM,Carnegie Bldg 3rd floor,Closed
Theft,IN20150000291,8/5/15 12:26 PM,8/5/15 12:26 PM,Weinberg Bldg,Closed
Theft,IN20150000299,8/9/15 4:01 AM,8/8/15 9:01 PM,Zayed Tower 12th floor,Closed
Theft,IN20150000304,8/10/15 10:10 PM,8/10/15 10:10 PM,Bloomberg Childrens Center 4th floor,Closed
Theft From Vehicle,IN20150000315,8/12/15 8:19 PM,8/12/15 8:19 PM,Orleans St,Closed
Theft From Vehicle,IN20150000316,8/12/15 10:14 PM,8/12/15 10:14 PM,200 block Wolfe St,Closed
Theft,IN20150000320,8/13/15 9:25 AM,8/11/15 1:30 PM,Nelson/Harvey Bldg 1st floor,Closed
Theft From Vehicle,IN20150000323,8/13/15 4:34 PM,8/13/15 4:34 PM,1700 block Monument St,Closed
Assault,IN20150000327,8/15/15 3:55 PM,8/14/15 8:20 PM,Weinberg Bldg 5th floor,Closed
Theft,IN20150000329,8/16/15 7:32 PM,8/16/15 6:32 PM,Pediatric Emergency Department,Closed
Trespassing,IN20150000340,8/19/15 8:09 AM,8/18/15 2:30 AM,Zayed Tower 8th floor,Closed
Assault,IN20150000341,8/19/15 10:25 AM,8/19/15 10:25 AM,Bloomberg Childrens Center 10th floor,Closed
Bomb Threat,IN20150000342,8/19/15 12:08 PM,8/19/15 10:50 PM,Zayed Tower 10th floor,Closed
Theft,IN20150000352,8/24/15 7:58 AM,8/24/15 7:58 AM,Weinberg Bldg 1st floor,Closed
Assault,IN20150000356,8/25/15 7:20 AM,8/25/15 6:30 AM,Adult Emergency Department; Psych,Closed
Theft,IN20150000360,8/25/15 8:33 PM,8/25/15 1:22 PM,Zayed Tower 8th floor,Closed
Assault,IN20150000394,9/2/15 9:57 AM,9/2/15 9:57 AM,Zayed Tower 11th floor,Closed
Theft From Vehicle,IN20150000395,9/2/15 7:08 PM,9/2/15 3:30 PM,McElderry St Garage Lower Level 1,Closed
Theft,IN20150000398,9/3/15 4:40 PM,9/3/15 4:30 PM,Carnegie Bldg 2nd floor,Closed
Assault,IN20150000400,9/4/15 12:36 PM,9/4/15 11:15 PM,933 N. Wolfe Street,Closed
Assault,IN20150000401,9/4/15 7:24 PM,9/4/15 7:24 PM,Bloomberg Childrens Center 12th floor,Closed
Theft,IN20150000406,9/7/15 4:49 PM,9/7/15 4:49 PM,Halsted Building,Closed
Theft,IN20150000414,9/8/15 8:55 PM,9/8/15 2:55 PM,Zayed Tower 5th floor,Closed
Vandalism,IN20150000416,9/9/15 7:57 AM,9/9/15 7:57 AM,Zayed Tower 11th floor,Closed
Assault,IN20150000427,9/10/15 11:09 AM,9/10/15 11:09 AM,JHOPC 4th floor,Closed
Assault,IN20150000442,9/14/15 4:57 PM,9/14/15 4:00 PM,Adult Emergency Department,Closed
Theft,IN20150000455,9/17/15 7:07 AM,9/16/15 3:54 PM,1900 Block McElderry Street,Closed
Theft,IN20150000460,9/17/15 8:33 AM,9/17/15 7:30 AM,Zayed Tower 10th floor,Closed
Theft,IN20150000457,9/17/15 5:02 PM,9/17/15 12:30 PM,Zayed Tower 11th floor,Closed
Theft,IN20150000467,9/18/15 5:35 PM,9/18/15 5:35 PM,Orleans St & Wolfe St,Closed
Theft,IN20150000475,9/22/15 6:14 PM,9/22/15 5:14 PM,Zayed Tower 3rd floor,Closed
Theft,IN20150000476,9/23/15 9:28 AM,9/23/15 9:28 AM,JHOPC 5th floor,Closed
Assault,IN20150000478,9/23/15 7:12 PM,9/23/15 7:12 PM,Zayed Tower 4th floor,Closed
Theft,IN20150000479,9/24/15 9:19 PM,9/24/15 9:19 PM,1700 block Orleans St,Closed
Assault,IN20150000483,9/25/15 5:36 PM,9/25/15 3:00 PM,Washington St Garage,Closed
Theft,IN20150000487,9/27/15 2:37 PM,9/27/15 2:37 AM,Orleans St Garage,Closed
Theft,IN20150000491,9/28/15 7:35 AM,9/26/15 7:35 AM,Orleans St Garage,Closed
Theft,IN20150000497,9/29/15 12:53 PM,9/29/15 12:53 PM,Osler Building 1st floor,Closed
Theft,IN20150000501,9/30/15 6:34 AM,9/30/15 4:00 AM,Nelson/Harvey Bldg,Closed
Theft,IN20150000503,9/30/15 10:04 AM,9/30/15 9:30 AM,CMSC Building Cafeteria,Closed
Vandalism,IN20150000507,9/30/15 6:00 PM,9/30/15 6:00 PM,1800 block Madison St,Closed
Theft,IN20150000511,10/1/15 8:48 AM,10/1/15 6:00 AM,Billings Building 3rd floor,Closed
Assault,IN20150000519,10/2/15 4:47 PM,10/1/15 9:15 PM,Meyer Bldg 5th Flr,Closed
Assault,IN20150000521,10/2/15 5:59 PM,10/2/15 5:59 PM,Bloomberg Childrens Center 12th floor,Closed
Assault,IN20150000524,10/3/15 9:11 PM,10/3/15 3:30 AM,Meyer Bldg 5th Flr,Closed
Sex Offense,IN20150000525,10/4/15 8:54 PM,10/4/15 8:54 PM,Meyer Bldg 3rd Flr,Closed
Vandalism,IN20150000533,10/8/15 11:04 AM,10/8/15 11:04 AM,Adult Emergency Department,Closed
Theft,IN20150000535,10/8/15 4:57 PM,10/8/15 4:00 PM,Nelson/Harvey Bldg 1st floor,Closed
Theft,IN20150000541,10/12/15 1:47 AM,10/12/15 12:37 AM,Ashland St Garage,Closed
Theft,IN20150000542,10/12/15 10:08 AM,10/12/15 4:44 AM,Bloomberg Childrens Center 4th floor,Closed
Assault,IN20150000544,10/13/15 2:08 PM,10/13/15 1:40 PM,Meyer Bldg 3rd Flr,Closed
Theft,IN20150000546,10/13/15 8:46 PM,10/13/15 5:46 PM,Orleans St Garage,Closed
Theft,IN20150000557,10/15/15 9:22 AM,9/28/15 9:22 AM,Pediatric Emergency Department,Closed
Theft,IN20150000559,10/15/15 4:37 PM,10/15/15 4:37 PM,Blalock Bldg 6th floor,Closed
Vandalism,IN20150000563,10/16/15 2:05 PM,10/16/15 2:05 PM,Traylor Bldg 2nd floor,Closed
Theft,IN20150000564,10/16/15 2:23 PM,10/16/15 2:12 PM,JHOPC 1st floor,Closed
Theft From Vehicle,IN20150000566,10/16/15 4:15 PM,10/16/15 4:15 PM,700 block Castle St,Closed
Theft,IN20150000568,10/19/15 8:06 PM,10/19/15 3:06 PM,600 block Wolfe St,Closed
Assault,IN20150000577,10/21/15 1:03 PM,10/21/15 1:03 PM,Meyer Bldg 5th Flr,Closed
Theft From Vehicle,IN20150000584,10/22/15 10:29 AM,10/22/15 10:29 AM,1600 block Orleans St,Closed
Theft,IN20150000585,10/22/15 4:51 PM,10/22/15 4:51 PM,Weinberg Bldg 3rd floor,Closed
Theft,IN20150000586,10/22/15 6:52 PM,10/20/15 7:45 PM,Meyer Bldg 5th Flr,Closed
Theft From Vehicle,IN20150000589,10/23/15 4:22 PM,10/23/15 12:00 PM,1500 block Orleans St,Closed
Assault,IN20150000596,10/27/15 3:15 PM,10/27/15 3:15 PM,Meyer Bldg 3rd Flr,Closed
Theft,IN20150000594,10/27/15 5:48 PM,10/27/15 5:48 PM,Adult Emergency Department,Closed
Forgery,IN20150000597,10/28/15 11:25 AM,10/28/15 11:25 AM,JHOPC 1st floor,Closed
Theft From Vehicle,IN20150000603,10/29/15 6:46 PM,10/29/15 6:46 PM,1700 block Jefferson St,Closed
Assault,IN20150000608,10/30/15 2:50 PM,10/30/15 2:00 PM,Meyer Bldg 3rd Flr,Closed
Theft,IN20150000621,11/4/15 2:52 PM,11/4/15 2:52 PM,Halsted Building 8th floor,Closed
Assault,IN20150000629,11/6/15 11:54 AM,11/6/15 10:00 AM,Pediatric Emergency Department; Psych,Closed
Assault,IN20150000634,11/6/15 6:57 PM,11/6/15 6:57 PM,700 block Wolfe St,Closed
Vandalism,IN20150000635,11/7/15 8:01 PM,11/7/15 8:01 PM,Bloomberg Childrens Center 12th floor,Closed
Assault,IN20150000637,11/9/15 1:38 AM,11/9/15 1:38 AM,Meyer Bldg 5th Flr,Closed
Theft,IN20150000638,11/9/15 11:05 AM,11/4/15 1:00 PM,Zayed Tower 10th floor,Closed
Theft,IN20150000644,11/10/15 10:38 AM,11/10/15 10:38 AM,Woods Building 2nd floor,Closed
Theft,IN20150000645,11/10/15 11:35 AM,11/10/15 11:35 AM,Wilmer Building 3rd floor,Closed
Theft,IN20150000646,11/10/15 4:45 PM,11/10/15 2:45 PM,Pathology Building 4th floor,Closed
Theft,IN20150000651,11/11/15 12:31 PM,11/11/15 12:31 PM,Woods Building 3rd floor,Closed
